"id","cout_materiaux_ht","cout_implementation_ht","cout_total_ht","cout_induit_ht","date_sigture_devis","date_facture","date_x","annee_travaux","revenu_mo","climat","Code Région","region","Code département","departement","type_logement","annee_construction","constr_cat","nb_pieces","surf_habitable","montant_aides_fincieres","type_aides_fincieres","renovation_globale","marque","modele","poste_isolation","isolant","epaisseur","resistance","surface","lambda"
"18",,,123.2227488,,,,,,,,11,"IDF",,,"INDIVIDUEL",,,,,,,,"KUF",,"ITE","PLASTIQUES",120,3.9,,
"19",,,128.9099526,,,,,,,"H2",53,"BRE",,,,,,,,,,,,,"RAMPANTS","LAINE MINERALE",,7.4,4,
"20",,,134.5971564,,,,,,,,11,"IDF",,,"INDIVIDUEL",,,,,,,,"STO",,"ITE","PLASTIQUES",140,3.7,,
"21",,,135.5450237,,,,,,,,11,"IDF",,,"INDIVIDUEL",,,,,,,,,,"RAMPANTS","LAINE MINERALE",,6,,
"22",,,137.4407583,,,,,,,,11,"IDF",,,"INDIVIDUEL",,,,,,,,"STO",,"ITE","PLASTIQUES",120,3.9,,
"23",,,137.4407583,,,,,,,,11,"IDF",,,"INDIVIDUEL",,,,,,,,"KUF",,"ITE","PLASTIQUES",160,5.1,,
"24",,,152.6066351,,,,,,,,11,"IDF",,,"INDIVIDUEL",,,,,,,,,,"COMBLES PERDUES","LAINE MINERALE",,7,,
"25",,,156,,"16/11/2016",,"16/11/2016",2016,,"H2",53,"BRE","56","MORBIHAN","INDIVIDUEL",,,,,,,,,,"ITI","LAINE MINERALE",120,3.8,4,0.032
"26",,,156.3981043,,,,,,,,11,"IDF",,,"INDIVIDUEL",,,,,,,,"KUF",,"ITE","PLASTIQUES",120,3.9,,
"27",,,166.8246445,,,,,,,,11,"IDF",,,"INDIVIDUEL",,,,,,,,"STO",,"ITE","PLASTIQUES",,3.9,,
"28",,,167.7725118,,,,,,,,11,"IDF",,,"INDIVIDUEL",,,,,,,,"KUF",,"ITE","PLASTIQUES",120,3.9,,
"29",,,170.6161137,,,,,,,,11,"IDF",,,"COLLECTIF",,,,,,,,"KUF",,"ITE","PLASTIQUES",120,7.5,,
"30",,,182.9383886,,,,,,,,11,"IDF",,,"INDIVIDUEL",,,,,,,,,,"ITE","PLASTIQUES",120,3.8,,
"31",,,188.6255924,,,,,,,,11,"IDF",,,"INDIVIDUEL",,,,,,,,"STO",,"ITE","PLASTIQUES",120,3.8,,
"32",,,207.5829384,,,,,,,,11,"IDF",,,"INDIVIDUEL",,,,,,,,,,"SARKING",,,,,
"33",,,207.5829384,,,,,,,,11,"IDF",,,"INDIVIDUEL",,,,,,,,"STO",,"ITE",,,3.8,,
"34",,,227.4881517,,,,,,,,11,"IDF",,,"INDIVIDUEL",,,,,,,,,,"SARKING","LAINE MINERALE",200,6,,0.0333
"35",,,229,,,,,,,"H2",53,"BRE",,,,,,,,,,,"ISOVER","IBR","COMBLES PERDUES","LAINE MINERALE",300,7.5,20,
"36",,,237.9146919,,"13/01/2016",,"13/01/2016",2016,,,75,"NAQ",,,"INDIVIDUEL",,,,,,,,,,"RAMPANTS","LAINE MINERALE",120,6,35,
"37",,,238,13.1,,,,,,"H2",53,"BRE",,,,,,,,,,,"ISOVER","GR32","ITI","LAINE MINERALE",120,3.8,23,
"38",,,246.4454976,,,,,,,,11,"IDF",,,"INDIVIDUEL",,,,,,,,"STO",,"ITE",,,3.8,,
"39",,,247.3933649,,,,,,,,11,"IDF",,,"INDIVIDUEL",,,,,,,,,,"SARKING","PLASTIQUES",132,6,,0.0217
"40",218,32,250,,,,,,27000,"H2",84,"ARA","26","DROME","INDIVIDUEL",1963,"de 1945 à 1973",,90,,,"RENOVATION SIMPLE",,,"COMBLES PERDUES",,,,,
"41",,,261.6113744,,,,,,,"H2",53,"BRE",,,,,,,,,,,,,"RAMPANTS","LAINE MINERALE",,6.5,10,
"42",,,264.4549763,,,"25/02/2014","25/02/2014",2014,,"H2",53,"BRE","56","MORBIHAN",,,,,,,,,,,"COMBLES PERDUES","LAINE VEGETALE",,7.7,17,
"43",,,272.985782,,,"29/11/2013","29/11/2013",2013,,"H2",53,"BRE","56","MORBIHAN",,,,,,,,,,,"COMBLES PERDUES","LAINE VEGETALE",,7.7,17,
"44",,,277.7251185,,,"03/02/2010","03/02/2010",2010,,"H1",24,"CVL","28","EURE-ET-LOIR",,,,,,,,,,,"PLANCHER BAS","LAINE VEGETALE",150,3.8,11,
"45",,,295.7345972,,,"09/11/2014","09/11/2014",2014,,"H2",53,"BRE","56","MORBIHAN",,,,,,,,,,,"ITI","PLASTIQUES",,3.8,6.25,
"46",,,312.7962085,,,,,,,"H1",32,"HDF","02","AISNE","INDIVIDUEL",1900,"av. 1945",,77,,,"Rénovation à plusieurs gestes de travaux",,,"ITE",,,,,
"47",256,88,344,484.436019,"06/10/2018","07/10/2018","07/10/2018",2018,,"H3",93,"PAC","13","BOUCHES-DU-RHONE","INDIVIDUEL",,,,,579,"CITE. PROVENCE ECO-RENOV","RENOVATION A PLUSIEURS GESTES DE TRAVAUX","METISSE RT LE RELAIS",,"ITI",,145,3.7,13.5,
"48",,,345.971564,,,"24/02/2016","24/02/2016",2016,,"H2",53,"BRE",,,"INDIVIDUEL",,,,,,,,,,"PLANCHER BAS","PLASTIQUES",,1.3,7,
"49",,,363.9810427,,,"22/02/2009","22/02/2009",2009,,"H1",24,"CVL",,,,,,,,,,,,,"PLANCHER BAS","LAINE VEGETALE",300,7.7,17,
"50",,,369.6682464,,,,,,,"H1",84,"ARA","69","RHONE","INDIVIDUEL",1912,"av. 1945",,105,,,,,,"ITI",,,,,
"51",237.9146919,132.7014218,371.563981,,,"14/10/2013","14/10/2013",2013,,"H2",53,"BRE","56","MORBIHAN",,,,,,,,,,,"COMBLES PERDUES","LAINE MINERALE",,7.5,16.8,
"52",,,379.1469194,,,,,,,"H2",53,"BRE",,,,,,,,,,,,,"RAMPANTS","LAINE MINERALE",,6,16,
"53",,,380.0947867,,,,,,,"H2",53,"BRE",,,,,,,,,,,,,"RAMPANTS","LAINE MINERALE",,6,31,
"54",,,395,,"16/11/2016",,"16/11/2016",2016,,"H2",53,"BRE","56","MORBIHAN","INDIVIDUEL",,,,,,,,,,"COMBLES PERDUES","LAINE MINERALE",320,7.1,11.5,0.045
"55",,,399,,"21/06/2018","21/06/2018","21/06/2018",2018,,"H1",84,"ARA","01","AIN","INDIVIDUEL",,,,,441,"CEE","RENOVATION SIMPLE","URSA","PULS'R47 / SOUFL'R47","COMBLES PERDUES","LAINE MINERALE",335,7,70,0.048
"56",,,419.9052133,,,"14/04/2015","14/04/2015",2015,,"H2",53,"BRE","56","MORBIHAN",,,,,,,,,,,"COMBLES PERDUES","LAINE VEGETALE",,7,17,
"57",385,62,447,,"04/11/2018","06/12/2018","06/12/2018",2018,,"H1",27,"BFC","21","COTE-D'OR","INDIVIDUEL",1900,"av. 1945",,,,,"Rénovation à plusieurs gestes de travaux","IDEM","NOVIDEM","COMBLES PERDUES","LAINE VEGETALE",430,7.5,11,
"58",,,450.2369668,,,"11/03/2011","11/03/2011",2011,,"H1",24,"CVL","28","EURE-ET-LOIR",,,,,,,,,,,"ITE","LAINE MINERALE",100,2.9,12,
"59",,,473.9336493,,,,,,,"H1",84,"ARA","42","LOIRE",,,,,,,,"BBC RENOVATION",,,"PLANCHER BAS",,,,,
"60",,,473.9336493,,,,,,,"H1",84,"ARA","42","LOIRE",,,,,,,,"BBC RENOVATION",,,"RAMPANTS",,,,,
"61",,,476.7772512,,,,,,,"H1",84,"ARA","42","LOIRE","INDIVIDUEL",1945,"de 1945 à 1973",,120,,,,,,"PLANCHER BAS",,,,,
"62",,,483.4123223,,,"29/01/2016","29/01/2016",2016,,"H2",53,"BRE",,,"INDIVIDUEL",,,,,,,,,,"PLANCHER BAS","LAINE VEGETALE",,5.2,19,
"63",,,486.2559242,,,,,,,"H2",53,"BRE","35","ILLE-ET-VILAINE",,1900,"av. 1945",,32,,,,,,"COMBLES PERDUES",,,,,
"64",,,504.2654028,,,"18/06/2014","18/06/2014",2014,,"H2",53,"BRE","56","MORBIHAN",,,,,,,,,,,"COMBLES PERDUES","LAINE MINERALE",,7.1,19,
"65",,,506,,"16/11/2016",,"16/11/2016",2016,,"H2",53,"BRE","56","MORBIHAN","INDIVIDUEL",,,,,,,,,,"ITI","LAINE MINERALE",450,13.2,11.5,0.034
"66",,,511.8483412,,,"15/07/2017","15/07/2017",2017,,"H2",53,"BRE",,,"INDIVIDUEL",,,,,,,,,,"PLANCHER BAS","PLASTIQUES",,3.2,16,
"67",,,512.7962085,,,,,,,"H2",53,"BRE","35","ILLE-ET-VILAINE",,1900,"av. 1945",,125,,,,,,"ITI",,,,,
"68",,,515,55.9,,,,,,,,"Z_Non Connu",,,,,,,,,,,"ISOVER","ISOCONFORT","RAMPANTS","LAINE MINERALE",240,6.9,38,
"69",,,515,,,,,,,"H2",53,"BRE",,,,,,,,,,,"ISOVER","ISOCONFORT","RAMPANTS","LAINE MINERALE",240,6.9,38,
"70",,,522,,"05/04/2016",,"05/04/2016",2016,,"H2",53,"BRE","56","MORBIHAN","INDIVIDUEL",,,,,,,,,,"RAMPANTS","LAINE MINERALE",200,6.3,7,0.0317
"71",248.3412322,279.6208531,527.9620853,,,"05/07/2009","05/07/2009",2009,,"H1",24,"CVL","28","EURE-ET-LOIR",,,,,,,,,,,"ITE","LAINE VEGETALE",120,2.8,12,
"72",,,528,132,"20/07/2018",,"20/07/2018",2018,,"H1",27,"BFC",,,"INDIVIDUEL",2003,"ap. 1990",,,,,"Rénovation à plusieurs gestes de travaux",,,"COMBLES PERDUES","LAINE VEGETALE",370,7.5,16.5,
"73",,,530.8056872,,,,,,,"H2",53,"BRE",,,,,,,,,,,,,"RAMPANTS","LAINE MINERALE",,6.2,20,
"74",,,531.7535545,,,,,,,"H2",53,"BRE","35","ILLE-ET-VILAINE",,1900,"av. 1945",,67,,,,,,"ITI",,,,,
"75",,,531.7535545,,,,,,,"H1",84,"ARA","42","LOIRE",,,,,,,,"BBC RENOVATION",,,"RAMPANTS",,,,,
"76",,,540.2843602,,,"22/04/2010","22/04/2010",2010,,"H1",24,"CVL",,,,,,,,,,,,,"PLANCHER BAS","LAINE VEGETALE",250,5.5,12,
"77",,,540.2843602,,,,,,,"H1",84,"ARA","69","RHONE","INDIVIDUEL",1945,"de 1945 à 1973",,75,,,,,,"RAMPANTS",,,,,
"78",120.3791469,439.8104265,560.1895735,,,,,,,"H2",76,"OCC",,,"INDIVIDUEL",1900,"av. 1945",,,,,,,,"COMBLES PERDUES",,,,,
"79",,,568.7203791,,,,,,,"H2",53,"BRE",,,,,,,,,,,,,"RAMPANTS","LAINE MINERALE",,3.3,24,
"80",,,568.7203791,,,,,,,"H2",53,"BRE","35","ILLE-ET-VILAINE",,1800,"av. 1945",,150,,,,,,"PLANCHER BAS",,,,,
"81",,,568.7203791,,,,,,,"H1",84,"ARA","42","LOIRE",,,,,,,,"BBC RENOVATION",,,"ITI",,,,,
"82",,,568.7203791,,"11/02/2016",,"11/02/2016",2016,,,75,"NAQ",,,"INDIVIDUEL",,,,,,,,,,"COMBLES PERDUES","LAINE MINERALE",375,8,25,
"83",,,569.6682464,,,,,,,"H2",53,"BRE",,,,,,,,,,,,,"RAMPANTS","LAINE MINERALE",,6,26,
"84",,,571.563981,,,,,,,"H2",53,"BRE",,,,,,,,,,,,,"RAMPANTS","LAINE MINERALE",,8,5.45,
"85",452.1327014,136.492891,588.6255924,,,"08/07/2014","08/07/2014",2014,,"H1",24,"CVL","28","EURE-ET-LOIR",,,,,,,,,,,"COMBLES PERDUES","LAINE MINERALE",280,8,29,
"86",,,589.5734597,,,"13/03/2009","13/03/2009",2009,,"H2",24,"CVL",,,,,,,,,,,,,"COMBLES PERDUES","LAINE VEGETALE",250,6.2,15,
"87",,,592.4170616,,,"31/07/2014","31/07/2014",2014,,"H2",53,"BRE","56","MORBIHAN",,,,,,,,,,,"COMBLES PERDUES","LAINE MINERALE",,7.1,25,
"88",,,599,,"30/11/2015",,"30/11/2015",2015,,"H2",53,"BRE","56","MORBIHAN","INDIVIDUEL",,,,,,,,,,"COMBLES PERDUES","LAINE MINERALE",320,8,35.22,0.04
"89",,,600,,,,,,,"H2",53,"BRE",,,,,,,,,,,,,"RAMPANTS","LAINE MINERALE",,4.4,24,
"90",612,,612,,"14/06/2018","14/06/2018","14/06/2018",2018,,"H2",76,"OCC","81","TARN","INDIVIDUEL",1983,"de 1974 à 1990",,100,76,"CEE","RENOVATION SIMPLE","OUATECO",,"COMBLES PERDUES","LAINE VEGETALE",290,7,40,
"91",,,613.2701422,,,"08/01/2013","08/01/2013",2013,,"H1",24,"CVL",,,,,,,,,,,,,"PLANCHER BAS","PLASTIQUES",600,1.5,29,0.039
"92",,,623.6966825,,,"24/03/2014","24/03/2014",2014,,"H2",53,"BRE","56","MORBIHAN",,,,,,,,,,,"COMBLES PERDUES","LAINE MINERALE",,7,26,
"93",81.51658768,544.0758294,625.5924171,,,,,,,"H2",76,"OCC",,,"INDIVIDUEL",,,,,,,,,,"COMBLES PERDUES",,,,,
"94",,,637.9146919,,,,,,,"H1",32,"HDF","02","AISNE","INDIVIDUEL",1900,"av. 1945",,162,,,"Rénovation à plusieurs gestes de travaux",,,"COMBLES PERDUES",,,,,
"95",,,638.8625592,,,,,,,"H2",53,"BRE","35","ILLE-ET-VILAINE",,1900,"av. 1945",,42,,,,,,"COMBLES PERDUES",,,,,
"96",,,648,,,,,,,"H1",28,"NOR",,,"COLLECTIF",,,,42,375,"AH- PRIME AIDE DE SOLIDARITE ENERGETIQUE ASE","Isolation de la toiture des combles de la copropriété",,,"COMBLES PERDUES",,,,,
"97",,,648,,,,,,,"H1",28,"NOR",,,"COLLECTIF",,,,42,337,"AH - TRAVAUX D'AMELIORATION ENERGETIQUE","Isolation de la toiture des combles de la copropriété",,,"COMBLES PERDUES",,,,,
"98",,,650.2369668,,,"15/01/2010","15/01/2010",2010,,"H2",24,"CVL",,,,,,,,,,,,,"ITE","LAINE MINERALE",150,3.3,14,
"99",,,653,,"01/01/2013","01/01/2013","01/01/2013",2013,,"H1",28,"NOR","27","EURE","INDIVIDUEL",1850,"av. 1945",6,140,17500,"AH HABITER MIEUX DEPARTEMENT COMMUUTE DE COMMUNE","Rénovation à plusieurs gestes de travaux",,,"COMBLES PERDUES","LAINE MINERALE",300,7.5,28.4,
"100",,,655,,,"28/09/2017","28/09/2017",2017,,,,"Z_Non Connu",,,,,,,,0,,,,,"PLANCHER BAS","LAINE VEGETALE",145,3.8,15,
"101",,,655,,,"28/09/2017","28/09/2017",2017,,"H2",53,"BRE",,,,,,,,,,,,,"PLANCHER BAS","LAINE VEGETALE",145,3.8,15,
"102",,,663.507109,,,"23/11/2016","23/11/2016",2016,,"H2",53,"BRE",,,"INDIVIDUEL",,,,,,,,,,"PLANCHER BAS","LAINE MINERALE",,3.1,15.6,
"103",,,663.507109,,,,,,,"H2",53,"BRE","35","ILLE-ET-VILAINE",,1850,"av. 1945",,180,,,,,,"COMBLES PERDUES",,,,,
"104",,,663.507109,,,,,,,"H2",53,"BRE","35","ILLE-ET-VILAINE",,1962,"de 1945 à 1973",,100,,,,,,"PLANCHER BAS",,,,,
"105",,,667.2985782,,"24/02/2016",,"24/02/2016",2016,,,75,"NAQ",,,"INDIVIDUEL",,,,,,,,,,"COMBLES PERDUES","LAINE MINERALE",320,7,33,
"106",,,667.2985782,,"23/02/2016",,"23/02/2016",2016,,,75,"NAQ",,,"INDIVIDUEL",,,,,,,,,,"COMBLES PERDUES","LAINE MINERALE",320,7,,
"107",,,671.0900474,,,,,,,"H2",53,"BRE","35","ILLE-ET-VILAINE",,1973,"de 1945 à 1973",,123,,,,,,"COMBLES PERDUES",,,,,
"108",,,672.0379147,,,,,,,"H2",53,"BRE","35","ILLE-ET-VILAINE",,1900,"av. 1945",,109,,,,,,"COMBLES PERDUES",,,,,
"109",,,675.8293839,,,"04/11/2016","04/11/2016",2016,,"H2",53,"BRE","56","MORBIHAN",,,,,,,,,,,"COMBLES PERDUES","LAINE MINERALE",,7.1,23,
"110",555.450237,139.3364929,694.7867299,,,,,,,"H2",76,"OCC",,,"INDIVIDUEL",1985,"de 1974 à 1990",,,,,,,,"COMBLES PERDUES",,,,,
"111",,,701.4218009,,,"28/11/2016","28/11/2016",2016,,"H2",53,"BRE","56","MORBIHAN",,,,,,,,,,,"COMBLES PERDUES","LAINE MINERALE",,8,28,
"112",,,701.4218009,,,,,,,"H2",53,"BRE",,,,,,,,,,,,,"RAMPANTS","LAINE MINERALE",,7.4,25,
"113",,,702.3696682,,,"11/07/2016","11/07/2016",2016,,"H2",53,"BRE","56","MORBIHAN",,,,,,,,,,,"COMBLES PERDUES","LAINE MINERALE",,7,27,
"114",,,704.2654028,,,"08/03/2011","08/03/2011",2011,,"H1",24,"CVL",,,,,,,,,,,,,"ITE","LAINE MINERALE",100,3.1,15,
"115",,,705.2132701,,"22/09/2016",,"22/09/2016",2016,,,75,"NAQ",,,"INDIVIDUEL",,,,,,,,,,"COMBLES PERDUES","LAINE MINERALE",330,7,85,
"116",,,708,,"29/03/2017",,"29/03/2017",2017,,"H2",53,"BRE","56","MORBIHAN","INDIVIDUEL",,,,,,,,,,"ITI","LAINE MINERALE",120,3.8,9.5,0.032
"117",,,708.056872,,,"17/09/2015","17/09/2015",2015,,"H2",53,"BRE","56","MORBIHAN",,,,,,,,,,,"COMBLES PERDUES","LAINE MINERALE",,8,27,
"118",,,708.056872,,,"11/08/2011","11/08/2011",2011,,"H1",24,"CVL","28","EURE-ET-LOIR",,,,,,,,,,,"ITE","LAINE MINERALE",100,2.9,14,
"119",,,710.9004739,,,"23/11/2016","23/11/2016",2016,,"H2",53,"BRE",,,"INDIVIDUEL",,,,,,,,,,"COMBLES PERDUES","LAINE MINERALE",,7.1,37.5,
"120",,,721,2327.056872,"13/09/2017","12/04/2017","12/04/2017",2017,,"H1",44,"GDE","67","BAS-RHIN","INDIVIDUEL",,,,,540,"CEE",,"ISOVER","IBR","COMBLES PERDUES","LAINE MINERALE",300,7.5,60,
"121",,,731.7535545,,,"29/06/2010","29/06/2010",2010,,"H2",24,"CVL","36","INDRE",,,,,,,,,,,"RAMPANTS","LAINE MINERALE",300,7,46,
"122",,,732.7014218,,,,,,,,11,"IDF",,,"INDIVIDUEL",,,,,,,,,,"ITE","PLASTIQUES",120,3.9,,
"123",589.5734597,146.9194313,736.492891,,,,,,,"H2",76,"OCC",,,,,,,,,,,,,"COMBLES PERDUES",,,,,
"124",,,739.3364929,,,"16/02/2017","16/02/2017",2017,,"H2",53,"BRE","56","MORBIHAN",,,,,,,,,,,"COMBLES PERDUES","LAINE MINERALE",,7.1,30,
"125",,,749.7630332,,,,,,,"H2",53,"BRE",,,,,,,,,,,,,"RAMPANTS","LAINE MINERALE",,6,30,
"126",,,750,,"19/03/2018",,"19/03/2018",2018,,"H2",53,"BRE",,,,,,,,,,,,,"ITI","LAINE VEGETALE",150,3.8,17.5,0.0395
"127",750,,750,,"04/07/2018","24/08/2018","24/08/2018",2018,,"H3",94,"COR","2A","CORSE-DU-SUD","INDIVIDUEL",1948,"de 1945 à 1973",5,135,,,"BBC RENOVATION",,,"RAMPANTS","LAINE MINERALE",220,7,25,
"128",,,752,,,,,,,,76,"OCC",,,,,,,,,,,,,"PLANCHER BAS","LAINE MINERALE",,,35,
"129",,,753.5545024,,,,,,,,84,"ARA",,,,,,,,,,"TRES PERFORMANT - 3 BOUQUETS OU PLUS",,,"RAMPANTS",,,,,
"130",,,758.2938389,,,,,,,"H2",53,"BRE","35","ILLE-ET-VILAINE",,1976,"de 1974 à 1990",,103,,,,,,"PLANCHER BAS",,,,,
"131",,,761.1374408,,,"07/06/2009","07/06/2009",2009,,"H2",76,"OCC",,,,,,,,,,,,,"COMBLES PERDUES","LAINE MINERALE",200,5,16,
"132",389.5734597,376.3033175,765.8767773,,,"30/12/2009","30/12/2009",2009,,"H1",24,"CVL",,,,,,,,,,,,,"ITE","LAINE VEGETALE",120,3,17,
"133",,,769.6682464,,"04/02/2016",,"04/02/2016",2016,,,75,"NAQ",,,"INDIVIDUEL",,,,,,,,,,"COMBLES PERDUES","LAINE MINERALE",350,7,25,
"134",344.0758294,428.436019,772.5118483,,,"24/11/2014","24/11/2014",2014,,"H1",24,"CVL","28","EURE-ET-LOIR",,,,,,,,,,,"COMBLES PERDUES","LAINE MINERALE",,7,27,
"135",,,774,,,,,,,,76,"OCC",,,,,,,,,,,,,"COMBLES PERDUES","LAINE VEGETALE",,,48.96,
"136",,,781.042654,,,,,,,"H1",84,"ARA","42","LOIRE",,,,,,,,"BBC RENOVATION",,,"RAMPANTS",,,,,
"137",,,781.042654,,,"06/09/2010","06/09/2010",2010,,"H2",24,"CVL","41","LOIR-ET-CHER",,,,,,,,,,,"ITE","LAINE MINERALE",100,3.2,24,
"138",,,781.9905213,,,"01/05/2016","01/05/2016",2016,,"H2",53,"BRE",,,"INDIVIDUEL",,,,,,,,,,"COMBLES PERDUES","LAINE MINERALE",,7.1,33,
"139",,,785,,"01/01/2013","01/01/2013","01/01/2013",2013,,"H1",28,"NOR",,,"INDIVIDUEL",1900,"av. 1945",6,97,13523,"AH HABITER MIEUX COMMUUTE DE COMMUNE","Rénovation à plusieurs gestes de travaux",,,"COMBLES PERDUES","LAINE MINERALE",,,15,
"140",,,794,,"09/06/2016",,"09/06/2016",2016,,"H2",53,"BRE","56","MORBIHAN","INDIVIDUEL",,,,,,,,,,"ITI","LAINE MINERALE",140,3.8,15.85,0.0373
"141",433,361,794,,,,,,,"H2",24,"CVL","41","LOIR-ET-CHER","INDIVIDUEL",,,,,,,"Rénovation à plusieurs gestes de travaux",,,"RAMPANTS","LAINE MINERALE",220,6.3,42,
"142",,,796.2085308,,,,,,,"H2",53,"BRE","35","ILLE-ET-VILAINE",,1900,"av. 1945",,130,,,,,,"PLANCHER BAS",,,,,
"143",,,800,,,,,,,"H2",53,"BRE",,,,,,,,,,,,,"RAMPANTS","LAINE MINERALE",,6,30,
"144",,,800,,,,,,,"H2",84,"ARA",,,,,,,,,,,,,"COMBLES PERDUES",,,,,
"145",,,800,2306.15673,"17/11/2017","29/07/2017","29/07/2017",2017,,"H1",44,"GDE","67","BAS-RHIN","INDIVIDUEL",,,,,266,"CEE","RENOVATION SIMPLE","ISOVER","IBR","COMBLES PERDUES","LAINE MINERALE",300,7.5,29.5,
"146",,,808.5308057,,"31/07/2015",,"31/07/2015",2015,,,75,"NAQ",,,"INDIVIDUEL",,,,,,,,,,"COMBLES PERDUES","LAINE MINERALE",320,7,45,
"147",157.3459716,681.5165877,838.8625592,,,"30/04/2010","30/04/2010",2010,,"H2",24,"CVL","41","LOIR-ET-CHER",,,,,,,,,,,"ITE","LAINE MINERALE",100,3.2,18,
"148",,,840,,"10/10/2016",,"10/10/2016",2016,,"H2",53,"BRE","56","MORBIHAN","INDIVIDUEL",,,,,,,,,,"RAMPANTS","LAINE MINERALE",270,6,20,0.045
"149",,,842.6540284,,,,,,,"H2",53,"BRE","35","ILLE-ET-VILAINE",,1930,"av. 1945",,83,,,,,,"ITI",,,,,
"150",,,846.4454976,,,"17/10/2011","17/10/2011",2011,,"H1",24,"CVL","28","EURE-ET-LOIR",,,,,,,,,,,"ITE","LAINE MINERALE",170,2.9,17,
"151",468.2464455,379.1469194,847.3933649,,,"01/10/2012","01/10/2012",2012,,"H1",24,"CVL","28","EURE-ET-LOIR",,,,,,,,,,,"ITE","LAINE VEGETALE",120,3.2,20,0.038
"152",,,850.2369668,,,,,,,"H1",84,"ARA","42","LOIRE",,,,,,,,"TRES PERFORMANT - 3 BOUQUETS OU PLUS",,,"RAMPANTS",,,,,
"153",,,855.9241706,,,,,,,"H2",53,"BRE",,,,,,,,,,,,,"RAMPANTS","LAINE MINERALE",,8,29.64,
"154",,,860.6635071,,,,,,,"H1",32,"HDF","60","OISE","INDIVIDUEL",1900,"av. 1945",,155,,,"Rénovation à plusieurs gestes de travaux",,,"ITE",,,,,
"155",,,860.6635071,,,"26/05/2016","26/05/2016",2016,,"H2",53,"BRE",,,"INDIVIDUEL",,,,,,,,,,"PLANCHER BAS","PLASTIQUES",,3,20.5,
"156",,,861.6113744,,,,,,,"H1",32,"HDF","02","AISNE","INDIVIDUEL",1976,"de 1974 à 1990",,170,,,"Rénovation à plusieurs gestes de travaux",,,"COMBLES PERDUES",,,,,
"157",478,385,863,,,,,,,"H2",24,"CVL","41","LOIR-ET-CHER","INDIVIDUEL",,,,,,,"Rénovation à plusieurs gestes de travaux",,,"COMBLES PERDUES","LAINE MINERALE",300,7.5,52,
"158",,,870.1421801,,,,,,,"H2",53,"BRE",,,,,,,,,,,,,"RAMPANTS","LAINE MINERALE",,6.5,27,
